key,value
"Personal Weapons",2030
"Knife/Cutting Instrument",598
"Blunt Object",542
"Other",373
"Handgun",224
"Motor Vehicle/Vessel",193
"Other Firearm",163
"Unknown",155
"Rifle",18
"Drugs/Narcotics/Sleeping Pills",15
"Handgun (Automatic)",13
"None",11
"Firearm (Automatic)",10
"Shotgun",9
"Fire/Incendiary Device",4
"Explosives",3
"Rifle (Automatic)",1
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Firearm",0
"Lethal Cutting Instrument",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
