key,value
"Residence/Home",143
"Other/Unknown",48
"Jail/Prison/Penitentiary/Corrections Facility",34
"Hotel/Motel/Etc.",16
"Parking/Drop Lot/Garage",16
"Highway/Road/Alley/Street/Sidewalk",10
"Construction Site",7
"Field/Woods",5
"Bar/Nightclub",4
"Convenience Store",2
"Government/Public Building",2
"Lake/Waterway/Beach",2
"Air/Bus/Train Terminal",1
"Church/Synagogue/Temple/Mosque",1
"Commercial/Office Building",1
"Drug Store/Doctor's Office/Hospital",1
"Park/Playground",1
"Restaurant",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Grocery/Supermarket",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Service/Gas Station",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Specialty Store",0
"Tribal Lands",0
