key,value
"Highway/Road/Alley/Street/Sidewalk",216
"Convenience Store",135
"Specialty Store",118
"Residence/Home",103
"Parking/Drop Lot/Garage",102
"Department/Discount Store",68
"Service/Gas Station",60
"Grocery/Supermarket",50
"Other/Unknown",49
"Commercial/Office Building",41
"Construction Site",31
"Liquor Store",23
"Park/Playground",19
"Restaurant",17
"Drug Store/Doctor's Office/Hospital",13
"Hotel/Motel/Etc.",12
"Bank/Savings and Loan",10
"Air/Bus/Train Terminal",9
"Government/Public Building",8
"School/College",8
"Bar/Nightclub",5
"Church/Synagogue/Temple/Mosque",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"School-College/University",2
"Field/Woods",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Camp/Campground",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-Elementary/Secondary",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
