key,value
"Personal Weapons",456
"Handgun",103
"Knife/Cutting Instrument",103
"Blunt Object",46
"Unknown",43
"Other Firearm",29
"Other",27
"Handgun (Automatic)",5
"Motor Vehicle/Vessel",5
"Firearm (Automatic)",4
"Fire/Incendiary Device",1
"None",1
"Shotgun",1
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Drugs/Narcotics/Sleeping Pills",0
"Explosives",0
"Firearm",0
"Lethal Cutting Instrument",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
