key,value
"Residence/Home",109
"Highway/Road/Alley/Street/Sidewalk",76
"Other/Unknown",41
"Hotel/Motel/Etc.",33
"Parking/Drop Lot/Garage",33
"Restaurant",10
"Park/Playground",7
"Convenience Store",6
"Drug Store/Doctor's Office/Hospital",4
"School-Elementary/Secondary",4
"Specialty Store",4
"Bar/Nightclub",3
"Bank/Savings and Loan",2
"Department/Discount Store",2
"Dock/Wharf/Freight/Modal Terminal",2
"Camp/Campground",1
"Commercial/Office Building",1
"Community Center",1
"Construction Site",1
"Government/Public Building",1
"Grocery/Supermarket",1
"Liquor Store",1
"School/College",1
"Shelter-Mission/Homeless",1
"Shopping Mall",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Church/Synagogue/Temple/Mosque",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Field/Woods",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"Service/Gas Station",0
"Tribal Lands",0
