key,value
"Handgun",123
"Knife/Cutting Instrument",123
"Other",117
"Personal Weapons",90
"Firearm",57
"Motor Vehicle/Vessel",45
"Blunt Object",43
"Asphyxiation",14
"Rifle",6
"Shotgun",5
"Handgun (Automatic)",4
"Other Firearm",3
"Fire/Incendiary Device",2
"Drugs/Narcotics/Sleeping Pills",1
"Unknown",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Firearm (Automatic)",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
