key,value
"Knife/Cutting Instrument",421
"Other",365
"Firearm",336
"Handgun",241
"Blunt Object",201
"Personal Weapons",175
"Asphyxiation",88
"Motor Vehicle/Vessel",46
"Other Firearm",16
"Handgun (Automatic)",12
"Rifle",12
"Unknown",12
"Shotgun",8
"Explosives",4
"Fire/Incendiary Device",4
"Drugs/Narcotics/Sleeping Pills",3
"Firearm (Automatic)",3
"Rifle (Automatic)",2
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
