key,value
"Firearm",13
"Handgun",9
"Knife/Cutting Instrument",4
"Personal Weapons",4
"Unknown",3
"Handgun (Automatic)",1
"Other",1
"Asphyxiation",0
"Blunt Object",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Drugs/Narcotics/Sleeping Pills",0
"Explosives",0
"Fire/Incendiary Device",0
"Firearm (Automatic)",0
"Lethal Cutting Instrument",0
"Motor Vehicle/Vessel",0
"None",0
"Other Firearm",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
