key,value
"Residence/Home",9539
"Highway/Road/Alley/Street/Sidewalk",2362
"Service/Gas Station",377
"Other/Unknown",376
"Convenience Store",369
"Hotel/Motel/Etc.",349
"Parking/Drop Lot/Garage",349
"Restaurant",335
"Department/Discount Store",179
"Bar/Nightclub",172
"Commercial/Office Building",153
"Park/Playground",150
"Drug Store/Doctor's Office/Hospital",100
"Grocery/Supermarket",86
"Specialty Store",77
"Field/Woods",74
"Jail/Prison/Penitentiary/Corrections Facility",70
"School-Elementary/Secondary",47
"Air/Bus/Train Terminal",36
"Abandoned/Condemned Structure",33
"Government/Public Building",33
"Shopping Mall",31
"Industrial Site",30
"Community Center",25
"Bank/Savings and Loan",23
"School-College/University",23
"Auto Dealership New/Used",17
"Church/Synagogue/Temple/Mosque",17
"Gambling Facility/Casino/Race Track",17
"Daycare Facility",12
"Shelter-Mission/Homeless",12
"Construction Site",10
"Liquor Store",10
"Camp/Campground",9
"Arena/Stadium/Fairgrounds/Coliseum",8
"Rental Storage Facility",8
"Amusement Park",2
"Dock/Wharf/Freight/Modal Terminal",2
"Lake/Waterway/Beach",2
"ATM Separate from Bank",0
"Cyberspace",0
"Farm Facility",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
