key,value
"Handgun",3774
"Knife/Cutting Instrument",2216
"Other",2046
"Personal Weapons",1434
"Blunt Object",713
"Motor Vehicle/Vessel",659
"Firearm",444
"Other Firearm",310
"Rifle",242
"Unknown",155
"Shotgun",72
"Fire/Incendiary Device",48
"Drugs/Narcotics/Sleeping Pills",36
"Poison",25
"Asphyxiation",24
"Handgun (Automatic)",12
"Rifle (Automatic)",5
"Explosives",3
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Firearm (Automatic)",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
