key,value
"Handgun",185
"Firearm",48
"Rifle",31
"Other Firearm",23
"Knife/Cutting Instrument",20
"Unknown",15
"Personal Weapons",12
"Motor Vehicle/Vessel",7
"Blunt Object",6
"Asphyxiation",5
"Other",3
"Handgun (Automatic)",2
"Shotgun",2
"Firearm (Automatic)",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Drugs/Narcotics/Sleeping Pills",0
"Explosives",0
"Fire/Incendiary Device",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
