key,value
"Residence/Home",830
"Other/Unknown",92
"Hotel/Motel/Etc.",73
"Highway/Road/Alley/Street/Sidewalk",43
"Park/Playground",31
"Parking/Drop Lot/Garage",30
"Drug Store/Doctor's Office/Hospital",27
"Jail/Prison/Penitentiary/Corrections Facility",19
"Field/Woods",16
"School-College/University",12
"School-Elementary/Secondary",12
"Abandoned/Condemned Structure",11
"Bar/Nightclub",11
"Commercial/Office Building",11
"Service/Gas Station",11
"Government/Public Building",8
"Convenience Store",7
"Restaurant",7
"Church/Synagogue/Temple/Mosque",6
"Air/Bus/Train Terminal",3
"Grocery/Supermarket",3
"Lake/Waterway/Beach",3
"Department/Discount Store",2
"Shopping Mall",2
"Specialty Store",2
"Auto Dealership New/Used",1
"Camp/Campground",1
"Daycare Facility",1
"Dock/Wharf/Freight/Modal Terminal",1
"Industrial Site",1
"Military Installation",1
"Rental Storage Facility",1
"Shelter-Mission/Homeless",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Liquor Store",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
