key,value
"Residence/Home",784
"Highway/Road/Alley/Street/Sidewalk",489
"Service/Gas Station",144
"Convenience Store",125
"Parking/Drop Lot/Garage",108
"Hotel/Motel/Etc.",101
"Department/Discount Store",82
"Other/Unknown",74
"Restaurant",70
"Park/Playground",69
"Specialty Store",43
"Grocery/Supermarket",29
"Commercial/Office Building",28
"Bar/Nightclub",23
"Shopping Mall",19
"Field/Woods",16
"Air/Bus/Train Terminal",14
"Abandoned/Condemned Structure",8
"Church/Synagogue/Temple/Mosque",8
"School-Elementary/Secondary",7
"Drug Store/Doctor's Office/Hospital",6
"Bank/Savings and Loan",5
"Community Center",5
"ATM Separate from Bank",4
"Government/Public Building",4
"Construction Site",3
"Gambling Facility/Casino/Race Track",3
"Industrial Site",3
"Jail/Prison/Penitentiary/Corrections Facility",3
"Liquor Store",2
"Shelter-Mission/Homeless",2
"Arena/Stadium/Fairgrounds/Coliseum",1
"Auto Dealership New/Used",1
"Military Installation",1
"Amusement Park",0
"Camp/Campground",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Lake/Waterway/Beach",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Tribal Lands",0
