key,value
"Residence/Home",108
"Highway/Road/Alley/Street/Sidewalk",70
"Other/Unknown",18
"Parking/Drop Lot/Garage",11
"Grocery/Supermarket",6
"Convenience Store",4
"Service/Gas Station",4
"Air/Bus/Train Terminal",3
"Hotel/Motel/Etc.",3
"Jail/Prison/Penitentiary/Corrections Facility",3
"Camp/Campground",2
"Field/Woods",2
"Lake/Waterway/Beach",2
"Restaurant",2
"Bar/Nightclub",1
"Community Center",1
"Department/Discount Store",1
"Farm Facility",1
"Government/Public Building",1
"Industrial Site",1
"Park/Playground",1
"Specialty Store",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Church/Synagogue/Temple/Mosque",0
"Commercial/Office Building",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Drug Store/Doctor's Office/Hospital",0
"Gambling Facility/Casino/Race Track",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
