key,value
"Residence/Home",949
"Other/Unknown",172
"Jail/Prison/Penitentiary/Corrections Facility",79
"Hotel/Motel/Etc.",70
"Highway/Road/Alley/Street/Sidewalk",66
"School-College/University",39
"Parking/Drop Lot/Garage",38
"Drug Store/Doctor's Office/Hospital",33
"School-Elementary/Secondary",26
"Park/Playground",20
"Lake/Waterway/Beach",19
"Government/Public Building",14
"Dock/Wharf/Freight/Modal Terminal",12
"Camp/Campground",10
"Field/Woods",9
"Grocery/Supermarket",9
"Shopping Mall",9
"Air/Bus/Train Terminal",8
"Commercial/Office Building",8
"Service/Gas Station",8
"Bar/Nightclub",6
"Industrial Site",5
"Church/Synagogue/Temple/Mosque",4
"Amusement Park",3
"Department/Discount Store",3
"Abandoned/Condemned Structure",2
"Convenience Store",2
"Daycare Facility",2
"Arena/Stadium/Fairgrounds/Coliseum",1
"Auto Dealership New/Used",1
"Construction Site",1
"Farm Facility",1
"Restaurant",1
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Community Center",0
"Cyberspace",0
"Gambling Facility/Casino/Race Track",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School/College",0
"Shelter-Mission/Homeless",0
"Specialty Store",0
"Tribal Lands",0
