key,value
"Personal Weapons",749
"None",643
"Other",140
"Unknown",28
"Handgun",23
"Knife/Cutting Instrument",16
"Handgun (Automatic)",12
"Firearm",6
"Firearm (Automatic)",2
"Other Firearm",2
"Rifle",2
"Drugs/Narcotics/Sleeping Pills",1
"Poison",1
"Asphyxiation",0
"Blunt Object",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Fire/Incendiary Device",0
"Lethal Cutting Instrument",0
"Motor Vehicle/Vessel",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
