key,value
"Residence/Home",871
"Highway/Road/Alley/Street/Sidewalk",618
"Service/Gas Station",207
"Parking/Drop Lot/Garage",200
"Convenience Store",128
"Air/Bus/Train Terminal",120
"Department/Discount Store",119
"Other/Unknown",84
"Shopping Mall",77
"Grocery/Supermarket",66
"Specialty Store",58
"Hotel/Motel/Etc.",48
"Restaurant",48
"Government/Public Building",39
"Camp/Campground",32
"Bank/Savings and Loan",27
"Commercial/Office Building",27
"Auto Dealership New/Used",21
"Bar/Nightclub",19
"Park/Playground",13
"Field/Woods",12
"Drug Store/Doctor's Office/Hospital",10
"Industrial Site",9
"Amusement Park",8
"Arena/Stadium/Fairgrounds/Coliseum",8
"Liquor Store",8
"Jail/Prison/Penitentiary/Corrections Facility",5
"Construction Site",4
"Farm Facility",4
"Rental Storage Facility",3
"Church/Synagogue/Temple/Mosque",2
"Daycare Facility",2
"Lake/Waterway/Beach",2
"School-College/University",2
"Shelter-Mission/Homeless",2
"Abandoned/Condemned Structure",1
"ATM Separate from Bank",0
"Community Center",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Gambling Facility/Casino/Race Track",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-Elementary/Secondary",0
"School/College",0
"Tribal Lands",0
