key,value
"Residence/Home",1071
"Highway/Road/Alley/Street/Sidewalk",693
"Convenience Store",51
"Parking/Drop Lot/Garage",45
"Drug Store/Doctor's Office/Hospital",37
"Park/Playground",34
"School-Elementary/Secondary",26
"Other/Unknown",24
"Bar/Nightclub",17
"Restaurant",14
"Service/Gas Station",14
"Grocery/Supermarket",10
"Hotel/Motel/Etc.",9
"Government/Public Building",5
"Specialty Store",5
"Commercial/Office Building",2
"Department/Discount Store",2
"Field/Woods",2
"Air/Bus/Train Terminal",1
"Amusement Park",1
"Bank/Savings and Loan",1
"Construction Site",1
"Liquor Store",1
"Shopping Mall",1
"Abandoned/Condemned Structure",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Shelter-Mission/Homeless",0
"Tribal Lands",0
