key,value
"Highway/Road/Alley/Street/Sidewalk",352
"Residence/Home",194
"Convenience Store",84
"Parking/Drop Lot/Garage",39
"Other/Unknown",31
"Grocery/Supermarket",27
"Service/Gas Station",26
"Bank/Savings and Loan",24
"Park/Playground",19
"Restaurant",17
"Specialty Store",14
"Department/Discount Store",11
"Drug Store/Doctor's Office/Hospital",9
"School-Elementary/Secondary",5
"Hotel/Motel/Etc.",4
"Liquor Store",4
"Commercial/Office Building",3
"Air/Bus/Train Terminal",2
"Auto Dealership New/Used",2
"Bar/Nightclub",1
"Government/Public Building",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Field/Woods",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
