key,value
"Residence/Home",17917
"Highway/Road/Alley/Street/Sidewalk",9547
"Other/Unknown",3320
"Grocery/Supermarket",968
"Shelter-Mission/Homeless",943
"Restaurant",621
"Park/Playground",499
"Bar/Nightclub",479
"Shopping Mall",349
"Drug Store/Doctor's Office/Hospital",303
"Parking/Drop Lot/Garage",175
"Specialty Store",175
"School-Elementary/Secondary",158
"Hotel/Motel/Etc.",155
"Air/Bus/Train Terminal",115
"Service/Gas Station",106
"Government/Public Building",105
"Department/Discount Store",101
"Jail/Prison/Penitentiary/Corrections Facility",86
"Convenience Store",65
"Commercial/Office Building",39
"Rest Area",36
"Liquor Store",35
"Bank/Savings and Loan",29
"Church/Synagogue/Temple/Mosque",24
"Industrial Site",22
"Rental Storage Facility",17
"Construction Site",14
"Dock/Wharf/Freight/Modal Terminal",14
"School-College/University",12
"Daycare Facility",5
"Gambling Facility/Casino/Race Track",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"ATM Separate from Bank",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Auto Dealership New/Used",0
"Camp/Campground",0
"Community Center",0
"Cyberspace",0
"Farm Facility",0
"Field/Woods",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
