key,value
"Knife/Cutting Instrument",10917
"Personal Weapons",8405
"Other",7693
"Blunt Object",5619
"Handgun",2203
"Firearm",1416
"Motor Vehicle/Vessel",236
"Poison",182
"Other Firearm",95
"None",58
"Unknown",37
"Drugs/Narcotics/Sleeping Pills",33
"Rifle",9
"Explosives",4
"Shotgun",3
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Fire/Incendiary Device",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
