key,value
"None",1952
"Personal Weapons",820
"Knife/Cutting Instrument",37
"Other",24
"Handgun",15
"Blunt Object",10
"Firearm",7
"Drugs/Narcotics/Sleeping Pills",5
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Fire/Incendiary Device",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Motor Vehicle/Vessel",0
"Other Firearm",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
"Unknown",0
