key,value
"Highway/Road/Alley/Street/Sidewalk",203
"Residence/Home",196
"Jail/Prison/Penitentiary/Corrections Facility",23
"Parking/Drop Lot/Garage",17
"Bar/Nightclub",13
"Other/Unknown",9
"Convenience Store",7
"Park/Playground",6
"Service/Gas Station",6
"Air/Bus/Train Terminal",5
"Amusement Park",4
"Field/Woods",3
"Restaurant",3
"Shelter-Mission/Homeless",3
"Daycare Facility",2
"Government/Public Building",2
"Hotel/Motel/Etc.",2
"Church/Synagogue/Temple/Mosque",1
"Drug Store/Doctor's Office/Hospital",1
"Grocery/Supermarket",1
"Rental Storage Facility",1
"School-Elementary/Secondary",1
"Abandoned/Condemned Structure",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Commercial/Office Building",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Shopping Mall",0
"Specialty Store",0
"Tribal Lands",0
