key,value
"Handgun",122
"Firearm",111
"Personal Weapons",49
"Knife/Cutting Instrument",46
"None",22
"Unknown",16
"Motor Vehicle/Vessel",12
"Rifle",9
"Blunt Object",6
"Asphyxiation",5
"Other",3
"Drugs/Narcotics/Sleeping Pills",2
"Fire/Incendiary Device",2
"Explosives",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Other Firearm",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
