key,value
"Highway/Road/Alley/Street/Sidewalk",14683
"Residence/Home",8483
"School-Elementary/Secondary",376
"Grocery/Supermarket",284
"Other/Unknown",250
"Drug Store/Doctor's Office/Hospital",245
"Dock/Wharf/Freight/Modal Terminal",243
"Jail/Prison/Penitentiary/Corrections Facility",210
"Bar/Nightclub",206
"Department/Discount Store",191
"Shelter-Mission/Homeless",138
"Restaurant",131
"Parking/Drop Lot/Garage",103
"Service/Gas Station",101
"Government/Public Building",95
"Specialty Store",87
"Hotel/Motel/Etc.",60
"Community Center",46
"Park/Playground",40
"Air/Bus/Train Terminal",27
"Daycare Facility",17
"Shopping Mall",17
"Liquor Store",15
"Convenience Store",13
"Arena/Stadium/Fairgrounds/Coliseum",12
"Auto Dealership New/Used",12
"Industrial Site",10
"Bank/Savings and Loan",9
"Church/Synagogue/Temple/Mosque",9
"Commercial/Office Building",9
"Amusement Park",4
"Construction Site",4
"Gambling Facility/Casino/Race Track",4
"Abandoned/Condemned Structure",3
"Field/Woods",3
"School-College/University",3
"Rental Storage Facility",2
"ATM Separate from Bank",0
"Camp/Campground",0
"Cyberspace",0
"Farm Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
