key,value
"Handgun",1014
"Firearm",133
"Knife/Cutting Instrument",60
"Personal Weapons",45
"Rifle",21
"Other",15
"Blunt Object",9
"Fire/Incendiary Device",8
"Unknown",6
"Motor Vehicle/Vessel",3
"Asphyxiation",2
"Shotgun",2
"Drugs/Narcotics/Sleeping Pills",1
"Other Firearm",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Firearm (Automatic)",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
