key,value
"Residence/Home",1831
"Highway/Road/Alley/Street/Sidewalk",305
"Other/Unknown",109
"Drug Store/Doctor's Office/Hospital",43
"Dock/Wharf/Freight/Modal Terminal",40
"Hotel/Motel/Etc.",37
"School-Elementary/Secondary",35
"Park/Playground",19
"Jail/Prison/Penitentiary/Corrections Facility",16
"Shelter-Mission/Homeless",16
"Bar/Nightclub",15
"Abandoned/Condemned Structure",11
"Community Center",8
"Commercial/Office Building",5
"Daycare Facility",5
"Restaurant",5
"School-College/University",4
"Air/Bus/Train Terminal",3
"Department/Discount Store",3
"Grocery/Supermarket",3
"Parking/Drop Lot/Garage",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Field/Woods",2
"Rental Storage Facility",2
"Shopping Mall",2
"Amusement Park",1
"Church/Synagogue/Temple/Mosque",1
"Government/Public Building",1
"Industrial Site",1
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Construction Site",0
"Convenience Store",0
"Cyberspace",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Service/Gas Station",0
"Specialty Store",0
"Tribal Lands",0
