key,value
"None",1149
"Personal Weapons",1146
"Handgun",81
"Unknown",57
"Knife/Cutting Instrument",51
"Other",18
"Firearm",8
"Blunt Object",6
"Other Firearm",4
"Drugs/Narcotics/Sleeping Pills",3
"Asphyxiation",2
"Motor Vehicle/Vessel",2
"Firearm (Automatic)",1
"Poison",1
"Shotgun",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Fire/Incendiary Device",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Rifle",0
"Rifle (Automatic)",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
