key,value
"Highway/Road/Alley/Street/Sidewalk",10272
"Residence/Home",1699
"Department/Discount Store",1547
"Grocery/Supermarket",1158
"Service/Gas Station",534
"Drug Store/Doctor's Office/Hospital",515
"Dock/Wharf/Freight/Modal Terminal",448
"Specialty Store",352
"Restaurant",350
"Bank/Savings and Loan",249
"Other/Unknown",182
"Parking/Drop Lot/Garage",126
"Convenience Store",84
"Bar/Nightclub",80
"Liquor Store",77
"Community Center",44
"Hotel/Motel/Etc.",42
"Park/Playground",39
"School-Elementary/Secondary",27
"Shopping Mall",27
"Air/Bus/Train Terminal",19
"Shelter-Mission/Homeless",14
"ATM Separate from Bank",8
"Church/Synagogue/Temple/Mosque",7
"School-College/University",7
"Gambling Facility/Casino/Race Track",6
"Auto Dealership New/Used",5
"Industrial Site",5
"Commercial/Office Building",4
"Government/Public Building",4
"Abandoned/Condemned Structure",3
"Construction Site",2
"Arena/Stadium/Fairgrounds/Coliseum",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Rental Storage Facility",1
"Amusement Park",0
"Camp/Campground",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Field/Woods",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
