key,value
"Handgun",6452
"Personal Weapons",4501
"Knife/Cutting Instrument",1005
"Firearm",885
"None",848
"Other",515
"Unknown",392
"Blunt Object",337
"Rifle",63
"Other Firearm",47
"Shotgun",29
"Handgun (Automatic)",25
"Motor Vehicle/Vessel",12
"Poison",8
"Asphyxiation",5
"Fire/Incendiary Device",5
"Firearm (Automatic)",3
"Drugs/Narcotics/Sleeping Pills",2
"Rifle (Automatic)",2
"Explosives",1
"Shotgun (Automatic)",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
