key,value
"Residence/Home",111
"Other/Unknown",33
"Hotel/Motel/Etc.",20
"Jail/Prison/Penitentiary/Corrections Facility",6
"Highway/Road/Alley/Street/Sidewalk",5
"Park/Playground",4
"Parking/Drop Lot/Garage",4
"Drug Store/Doctor's Office/Hospital",2
"School-Elementary/Secondary",2
"Abandoned/Condemned Structure",1
"Camp/Campground",1
"Department/Discount Store",1
"Field/Woods",1
"Government/Public Building",1
"Rental Storage Facility",1
"Restaurant",1
"School-College/University",1
"Specialty Store",1
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Bar/Nightclub",0
"Church/Synagogue/Temple/Mosque",0
"Commercial/Office Building",0
"Community Center",0
"Construction Site",0
"Convenience Store",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Grocery/Supermarket",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Service/Gas Station",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
