key,value
"Residence/Home",9578
"Highway/Road/Alley/Street/Sidewalk",5936
"Commercial/Office Building",4122
"Parking/Drop Lot/Garage",2736
"Field/Woods",1805
"Service/Gas Station",447
"Hotel/Motel/Etc.",427
"Convenience Store",369
"Other/Unknown",328
"Bar/Nightclub",311
"Restaurant",306
"Park/Playground",192
"Department/Discount Store",112
"Grocery/Supermarket",47
"Arena/Stadium/Fairgrounds/Coliseum",43
"Church/Synagogue/Temple/Mosque",41
"Drug Store/Doctor's Office/Hospital",34
"Abandoned/Condemned Structure",30
"Shopping Mall",29
"Rental Storage Facility",20
"School-Elementary/Secondary",18
"Gambling Facility/Casino/Race Track",16
"Auto Dealership New/Used",14
"Air/Bus/Train Terminal",13
"Liquor Store",13
"School-College/University",12
"Shelter-Mission/Homeless",12
"Construction Site",11
"Industrial Site",11
"Camp/Campground",10
"Bank/Savings and Loan",8
"Specialty Store",8
"Community Center",6
"Government/Public Building",4
"Amusement Park",3
"Daycare Facility",3
"Rest Area",3
"ATM Separate from Bank",2
"Dock/Wharf/Freight/Modal Terminal",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"School/College",1
"Cyberspace",0
"Farm Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Tribal Lands",0
