key,value
"Handgun",10024
"Knife/Cutting Instrument",3812
"Firearm",2260
"Personal Weapons",1410
"Other",720
"Blunt Object",646
"Other Firearm",447
"Rifle",428
"Motor Vehicle/Vessel",366
"Unknown",180
"Asphyxiation",153
"Shotgun",130
"Handgun (Automatic)",78
"Fire/Incendiary Device",39
"Firearm (Automatic)",10
"Drugs/Narcotics/Sleeping Pills",4
"Explosives",4
"Other Firearm (Automatic)",4
"Rifle (Automatic)",4
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"None",0
"Poison",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
