key,value
"Handgun",415
"Firearm",163
"Knife/Cutting Instrument",52
"Handgun (Automatic)",45
"Rifle",30
"Other Firearm",25
"Other",21
"Unknown",18
"Personal Weapons",15
"Firearm (Automatic)",13
"Blunt Object",9
"Other Firearm (Automatic)",7
"Shotgun",5
"Fire/Incendiary Device",3
"Motor Vehicle/Vessel",3
"Rifle (Automatic)",2
"Asphyxiation",1
"Drugs/Narcotics/Sleeping Pills",1
"Poison",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Lethal Cutting Instrument",0
"None",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
