key,value
"Residence/Home",1264
"Commercial/Office Building",281
"Hotel/Motel/Etc.",144
"Highway/Road/Alley/Street/Sidewalk",128
"Parking/Drop Lot/Garage",91
"Field/Woods",77
"Other/Unknown",68
"School-Elementary/Secondary",47
"Park/Playground",42
"School-College/University",11
"Restaurant",10
"Camp/Campground",8
"Bar/Nightclub",6
"Drug Store/Doctor's Office/Hospital",5
"Service/Gas Station",4
"Abandoned/Condemned Structure",3
"Church/Synagogue/Temple/Mosque",3
"Convenience Store",3
"Construction Site",2
"Lake/Waterway/Beach",2
"School/College",2
"Shelter-Mission/Homeless",2
"Specialty Store",2
"Arena/Stadium/Fairgrounds/Coliseum",1
"Bank/Savings and Loan",1
"Community Center",1
"Dock/Wharf/Freight/Modal Terminal",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Rental Storage Facility",1
"Rest Area",1
"Air/Bus/Train Terminal",0
"Amusement Park",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Grocery/Supermarket",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Shopping Mall",0
"Tribal Lands",0
