key,value
"Personal Weapons",1820
"Other",187
"Unknown",78
"Handgun",67
"Knife/Cutting Instrument",37
"Drugs/Narcotics/Sleeping Pills",17
"Blunt Object",10
"Firearm",9
"Asphyxiation",8
"Other Firearm",4
"Fire/Incendiary Device",1
"Firearm (Automatic)",1
"Rifle",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Handgun (Automatic)",0
"Lethal Cutting Instrument",0
"Motor Vehicle/Vessel",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Rifle (Automatic)",0
"Shotgun",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
