key,value
"Parking/Drop Lot/Garage",2127
"Highway/Road/Alley/Street/Sidewalk",2007
"Commercial/Office Building",1625
"Residence/Home",1087
"Department/Discount Store",869
"Convenience Store",827
"Field/Woods",789
"Service/Gas Station",686
"Restaurant",487
"Hotel/Motel/Etc.",207
"Other/Unknown",188
"Grocery/Supermarket",183
"Park/Playground",176
"Bar/Nightclub",91
"Drug Store/Doctor's Office/Hospital",88
"Bank/Savings and Loan",72
"Shopping Mall",44
"Specialty Store",30
"Liquor Store",29
"Gambling Facility/Casino/Race Track",26
"Construction Site",21
"Church/Synagogue/Temple/Mosque",15
"ATM Separate from Bank",14
"Auto Dealership New/Used",11
"Rental Storage Facility",10
"School-Elementary/Secondary",10
"Abandoned/Condemned Structure",9
"Air/Bus/Train Terminal",9
"Government/Public Building",6
"Industrial Site",6
"Arena/Stadium/Fairgrounds/Coliseum",5
"Lake/Waterway/Beach",5
"School-College/University",5
"Shelter-Mission/Homeless",3
"Camp/Campground",1
"Community Center",1
"Dock/Wharf/Freight/Modal Terminal",1
"Amusement Park",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
