key,value
"Handgun",4464
"Personal Weapons",2669
"Knife/Cutting Instrument",639
"Firearm",386
"Other",310
"Blunt Object",203
"Rifle",178
"Unknown",163
"Other Firearm",116
"Handgun (Automatic)",50
"Motor Vehicle/Vessel",40
"Shotgun",39
"Asphyxiation",12
"Fire/Incendiary Device",7
"Other Firearm (Automatic)",3
"Drugs/Narcotics/Sleeping Pills",2
"Firearm (Automatic)",2
"Explosives",1
"Rifle (Automatic)",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Lethal Cutting Instrument",0
"None",0
"Poison",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
