key,value
"Residence/Home",224
"Highway/Road/Alley/Street/Sidewalk",91
"Parking/Drop Lot/Garage",74
"Field/Woods",20
"Hotel/Motel/Etc.",14
"Other/Unknown",14
"Bar/Nightclub",10
"Convenience Store",6
"Grocery/Supermarket",5
"Restaurant",4
"Park/Playground",3
"Service/Gas Station",3
"Commercial/Office Building",2
"Construction Site",2
"Department/Discount Store",2
"Lake/Waterway/Beach",2
"Specialty Store",2
"Bank/Savings and Loan",1
"Camp/Campground",1
"Church/Synagogue/Temple/Mosque",1
"Drug Store/Doctor's Office/Hospital",1
"Industrial Site",1
"Rental Storage Facility",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
