key,value
"Handgun",226
"Firearm",103
"Knife/Cutting Instrument",21
"Personal Weapons",20
"Unknown",18
"Rifle",17
"Blunt Object",13
"Motor Vehicle/Vessel",12
"Other Firearm",11
"Other",6
"Handgun (Automatic)",5
"Shotgun",3
"Drugs/Narcotics/Sleeping Pills",1
"Fire/Incendiary Device",1
"Firearm (Automatic)",1
"Rifle (Automatic)",1
"Asphyxiation",0
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Explosives",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Poison",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
