key,value
"Residence/Home",2964
"Hotel/Motel/Etc.",211
"Other/Unknown",194
"Jail/Prison/Penitentiary/Corrections Facility",118
"Parking/Drop Lot/Garage",111
"Highway/Road/Alley/Street/Sidewalk",96
"Drug Store/Doctor's Office/Hospital",75
"Park/Playground",34
"School-Elementary/Secondary",29
"Field/Woods",21
"Bar/Nightclub",19
"Government/Public Building",17
"Restaurant",17
"Convenience Store",13
"Commercial/Office Building",12
"Daycare Facility",9
"Church/Synagogue/Temple/Mosque",8
"Grocery/Supermarket",8
"Abandoned/Condemned Structure",5
"Air/Bus/Train Terminal",5
"Department/Discount Store",4
"School-College/University",4
"Service/Gas Station",4
"Community Center",3
"Rental Storage Facility",3
"Specialty Store",3
"Shopping Mall",2
"Farm Facility",1
"Lake/Waterway/Beach",1
"Shelter-Mission/Homeless",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Construction Site",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
