key,value
"Handgun",3395
"Personal Weapons",1781
"Firearm",421
"Knife/Cutting Instrument",386
"Other",364
"Unknown",164
"Blunt Object",148
"Rifle",147
"Motor Vehicle/Vessel",101
"Handgun (Automatic)",82
"Shotgun",43
"Other Firearm",31
"Firearm (Automatic)",7
"Asphyxiation",4
"Explosives",3
"Rifle (Automatic)",2
"Drugs/Narcotics/Sleeping Pills",1
"Poison",1
"Club/Blackjack/Brass Knuckles",0
"Drowning",0
"Fire/Incendiary Device",0
"Lethal Cutting Instrument",0
"None",0
"Other Firearm (Automatic)",0
"Pushed or Thrown Out Window",0
"Shotgun (Automatic)",0
"Strangulation - Include Hanging",0
"Unarmed",0
