key,value
Knife/Cutting Instrument,833
Firearm,358
Personal Weapons,233
Other,198
Blunt Object,129
Handgun,17
Shotgun,9
Motor Vehicle/Vessel,8
Poison,7
Rifle,7
Other Firearm,3
Drugs/Narcotics/Sleeping Pills,1
Fire/Incendiary Device,1
Asphyxiation,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
Unknown,0
