key,value
Personal Weapons,361
Firearm,160
Knife/Cutting Instrument,126
Other,27
Blunt Object,18
Handgun,7
Poison,5
,2
Asphyxiation,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
Motor Vehicle/Vessel,0
Other Firearm,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Rifle,0
Rifle (Automatic),0
Shotgun,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
Unknown,0
