key,value
Handgun,78
Firearm,35
Motor Vehicle/Vessel,7
Knife/Cutting Instrument,6
Rifle,6
Unknown,4
Blunt Object,2
Personal Weapons,2
Asphyxiation,1
Drugs/Narcotics/Sleeping Pills,1
Shotgun,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
,0
Other,0
Other Firearm,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
