key,value
Residence/Home,261
Other/Unknown,26
Highway/Road/Alley/Street/Sidewalk,11
Jail/Prison/Penitentiary/Corrections Facility,11
Hotel/Motel/Etc.,9
Field/Woods,7
Government/Public Building,4
Parking/Drop Lot/Garage,4
Bar/Nightclub,3
Park/Playground,3
School-Elementary/Secondary,3
School-College/University,2
Abandoned/Condemned Structure,1
Arena/Stadium/Fairgrounds/Coliseum,1
Camp/Campground,1
Convenience Store,1
Daycare Facility,1
Drug Store/Doctor's Office/Hospital,1
Air/Bus/Train Terminal,0
Amusement Park,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Bank/Savings and Loan,0
Church/Synagogue/Temple/Mosque,0
Commercial/Office Building,0
Community Center,0
Construction Site,0
Cyberspace,0
Department/Discount Store,0
Dock/Wharf/Freight/Modal Terminal,0
Farm Facility,0
Gambling Facility/Casino/Race Track,0
Grocery/Supermarket,0
Industrial Site,0
Lake/Waterway/Beach,0
Liquor Store,0
Military Installation,0
Not Specified,0
Rental Storage Facility,0
Rest Area,0
Restaurant,0
School/College,0
Service/Gas Station,0
Shelter-Mission/Homeless,0
Shopping Mall,0
Specialty Store,0
Tribal Lands,0
