key,value
Residence/Home,225
Highway/Road/Alley/Street/Sidewalk,180
Parking/Drop Lot/Garage,167
Field/Woods,86
Commercial/Office Building,67
Other/Unknown,27
Hotel/Motel/Etc.,18
Bar/Nightclub,17
Convenience Store,13
Park/Playground,12
Service/Gas Station,10
Department/Discount Store,4
Gambling Facility/Casino/Race Track,4
Arena/Stadium/Fairgrounds/Coliseum,3
Restaurant,3
Church/Synagogue/Temple/Mosque,2
Bank/Savings and Loan,1
Construction Site,1
Dock/Wharf/Freight/Modal Terminal,1
Drug Store/Doctor's Office/Hospital,1
Lake/Waterway/Beach,1
Liquor Store,1
Rest Area,1
Shopping Mall,1
Abandoned/Condemned Structure,0
Air/Bus/Train Terminal,0
Amusement Park,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Camp/Campground,0
Community Center,0
Cyberspace,0
Daycare Facility,0
Farm Facility,0
Government/Public Building,0
Grocery/Supermarket,0
Industrial Site,0
Jail/Prison/Penitentiary/Corrections Facility,0
Military Installation,0
Not Specified,0
Rental Storage Facility,0
School-College/University,0
School-Elementary/Secondary,0
School/College,0
Shelter-Mission/Homeless,0
Specialty Store,0
Tribal Lands,0
