key,value
Personal Weapons,1128
Unknown,44
Handgun,43
,27
Knife/Cutting Instrument,24
Drugs/Narcotics/Sleeping Pills,8
Other,8
Blunt Object,6
Firearm,4
Other Firearm,2
Asphyxiation,1
Shotgun,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
Motor Vehicle/Vessel,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
