key,value
Personal Weapons,811
Handgun,807
Knife/Cutting Instrument,119
Other,76
,73
Unknown,54
Blunt Object,45
Firearm,39
Other Firearm,33
Rifle,33
Motor Vehicle/Vessel,12
Shotgun,6
Asphyxiation,2
Fire/Incendiary Device,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Explosives,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
