key,value
Residence/Home,13879
Highway/Road/Alley/Street/Sidewalk,4378
Parking/Drop Lot/Garage,2681
Other/Unknown,451
Hotel/Motel/Etc.,400
Convenience Store,378
Jail/Prison/Penitentiary/Corrections Facility,360
Bar/Nightclub,275
Restaurant,274
Park/Playground,171
Service/Gas Station,167
Grocery/Supermarket,104
Department/Discount Store,101
Commercial/Office Building,100
Specialty Store,86
Field/Woods,67
School-Elementary/Secondary,64
Drug Store/Doctor's Office/Hospital,57
Rental Storage Facility,54
Government/Public Building,45
Construction Site,26
Industrial Site,17
Amusement Park,16
Church/Synagogue/Temple/Mosque,16
Daycare Facility,15
Bank/Savings and Loan,13
Auto Dealership New/Used,12
Air/Bus/Train Terminal,9
Community Center,9
Arena/Stadium/Fairgrounds/Coliseum,7
Shopping Mall,7
Gambling Facility/Casino/Race Track,6
Liquor Store,6
Shelter-Mission/Homeless,6
Abandoned/Condemned Structure,5
Camp/Campground,5
Lake/Waterway/Beach,4
School-College/University,1
ATM Separate from Bank,0
Cyberspace,0
Dock/Wharf/Freight/Modal Terminal,0
Farm Facility,0
Military Installation,0
Not Specified,0
Rest Area,0
School/College,0
Tribal Lands,0
