key,value
Handgun,6910
Knife/Cutting Instrument,3558
Other,2374
Personal Weapons,1951
Firearm,1926
Blunt Object,1809
Motor Vehicle/Vessel,1511
Rifle,462
Unknown,235
Asphyxiation,221
Shotgun,207
Other Firearm,172
Handgun (Automatic),122
Fire/Incendiary Device,40
Firearm (Automatic),25
Poison,16
Rifle (Automatic),14
Drugs/Narcotics/Sleeping Pills,10
Explosives,3
Club/Blackjack/Brass Knuckles,0
Drowning,0
Lethal Cutting Instrument,0
,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
