key,value
Personal Weapons,3179
Unknown,300
Other,166
Drugs/Narcotics/Sleeping Pills,72
Handgun,64
Knife/Cutting Instrument,33
Firearm,15
Blunt Object,12
Asphyxiation,5
Handgun (Automatic),2
Rifle,2
Firearm (Automatic),1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Lethal Cutting Instrument,0
Motor Vehicle/Vessel,0
,0
Other Firearm,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
