key,value
Residence/Home,1719
Parking/Drop Lot/Garage,1715
Highway/Road/Alley/Street/Sidewalk,1117
Convenience Store,1107
Department/Discount Store,912
Restaurant,664
Specialty Store,587
Grocery/Supermarket,329
Other/Unknown,304
Service/Gas Station,288
Drug Store/Doctor's Office/Hospital,229
Hotel/Motel/Etc.,192
Bank/Savings and Loan,123
Commercial/Office Building,102
Park/Playground,82
Bar/Nightclub,53
Jail/Prison/Penitentiary/Corrections Facility,36
Field/Woods,29
Auto Dealership New/Used,22
Rental Storage Facility,21
Construction Site,19
ATM Separate from Bank,16
Liquor Store,15
Government/Public Building,10
School-Elementary/Secondary,9
Industrial Site,7
Church/Synagogue/Temple/Mosque,5
Community Center,5
Shopping Mall,5
Daycare Facility,4
Amusement Park,3
Gambling Facility/Casino/Race Track,3
Abandoned/Condemned Structure,1
Air/Bus/Train Terminal,1
Farm Facility,1
Rest Area,1
Arena/Stadium/Fairgrounds/Coliseum,0
Camp/Campground,0
Cyberspace,0
Dock/Wharf/Freight/Modal Terminal,0
Lake/Waterway/Beach,0
Military Installation,0
Not Specified,0
School-College/University,0
School/College,0
Shelter-Mission/Homeless,0
Tribal Lands,0
