key,value
Residence/Home,675
Highway/Road/Alley/Street/Sidewalk,134
Other/Unknown,20
School-Elementary/Secondary,13
Convenience Store,11
Hotel/Motel/Etc.,6
Restaurant,6
Field/Woods,4
Church/Synagogue/Temple/Mosque,3
Parking/Drop Lot/Garage,3
Arena/Stadium/Fairgrounds/Coliseum,2
Department/Discount Store,2
Air/Bus/Train Terminal,1
Bar/Nightclub,1
Drug Store/Doctor's Office/Hospital,1
Farm Facility,1
Gambling Facility/Casino/Race Track,1
Lake/Waterway/Beach,1
Liquor Store,1
Military Installation,1
Park/Playground,1
School-College/University,1
Service/Gas Station,1
Shopping Mall,1
Specialty Store,1
Abandoned/Condemned Structure,0
Amusement Park,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Bank/Savings and Loan,0
Camp/Campground,0
Commercial/Office Building,0
Community Center,0
Construction Site,0
Cyberspace,0
Daycare Facility,0
Dock/Wharf/Freight/Modal Terminal,0
Government/Public Building,0
Grocery/Supermarket,0
Industrial Site,0
Jail/Prison/Penitentiary/Corrections Facility,0
Not Specified,0
Rental Storage Facility,0
Rest Area,0
School/College,0
Shelter-Mission/Homeless,0
Tribal Lands,0
