key,value
Residence/Home,5505
Highway/Road/Alley/Street/Sidewalk,1686
Jail/Prison/Penitentiary/Corrections Facility,506
Parking/Drop Lot/Garage,431
Service/Gas Station,304
Other/Unknown,303
Air/Bus/Train Terminal,170
Convenience Store,161
Restaurant,139
Grocery/Supermarket,105
Bar/Nightclub,81
Government/Public Building,71
Camp/Campground,69
Department/Discount Store,65
Drug Store/Doctor's Office/Hospital,61
Hotel/Motel/Etc.,56
Park/Playground,53
Commercial/Office Building,52
Specialty Store,51
Shopping Mall,49
Farm Facility,33
Field/Woods,29
Lake/Waterway/Beach,29
Amusement Park,25
Industrial Site,21
Auto Dealership New/Used,19
Arena/Stadium/Fairgrounds/Coliseum,16
School-College/University,14
Construction Site,12
Liquor Store,11
Church/Synagogue/Temple/Mosque,10
Dock/Wharf/Freight/Modal Terminal,9
Shelter-Mission/Homeless,8
Bank/Savings and Loan,7
Rental Storage Facility,7
School-Elementary/Secondary,5
Gambling Facility/Casino/Race Track,3
Abandoned/Condemned Structure,2
Community Center,1
Rest Area,1
ATM Separate from Bank,0
Cyberspace,0
Daycare Facility,0
Military Installation,0
Not Specified,0
School/College,0
Tribal Lands,0
