key,value
Other,2306
Personal Weapons,1429
Knife/Cutting Instrument,1286
Handgun,897
Firearm,741
Unknown,351
Motor Vehicle/Vessel,326
Handgun (Automatic),250
Firearm (Automatic),122
Other Firearm,92
Rifle,83
Blunt Object,47
Rifle (Automatic),45
Asphyxiation,16
Fire/Incendiary Device,16
Shotgun,14
Other Firearm (Automatic),12
Poison,6
Shotgun (Automatic),3
Drugs/Narcotics/Sleeping Pills,2
Explosives,2
Club/Blackjack/Brass Knuckles,0
Drowning,0
Lethal Cutting Instrument,0
,0
Pushed or Thrown Out Window,0
Strangulation - Include Hanging,0
Unarmed,0
