key,value
Firearm,134
Handgun,36
Rifle,19
Knife/Cutting Instrument,16
Firearm (Automatic),13
Handgun (Automatic),13
Unknown,8
Other Firearm,5
Asphyxiation,3
Fire/Incendiary Device,3
Other,3
Personal Weapons,3
Rifle (Automatic),2
Motor Vehicle/Vessel,1
Blunt Object,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Explosives,0
Lethal Cutting Instrument,0
,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Shotgun,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
