key,value
Personal Weapons,909
Handgun,393
Other,298
,225
Firearm,181
Knife/Cutting Instrument,173
Handgun (Automatic),123
Unknown,65
Firearm (Automatic),39
Other Firearm,24
Rifle,21
Rifle (Automatic),17
Motor Vehicle/Vessel,8
Blunt Object,3
Shotgun,3
Asphyxiation,2
Fire/Incendiary Device,2
Explosives,1
Shotgun (Automatic),1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Strangulation - Include Hanging,0
Unarmed,0
