key,value
Personal Weapons,29
Knife/Cutting Instrument,27
Asphyxiation,19
Motor Vehicle/Vessel,18
Other,15
Blunt Object,14
,14
Handgun,12
Firearm,3
Rifle,2
Shotgun,2
Drugs/Narcotics/Sleeping Pills,1
Firearm (Automatic),1
Handgun (Automatic),1
Other Firearm,1
Unknown,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Lethal Cutting Instrument,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
