key,value
,10
Personal Weapons,8
Unknown,4
Drugs/Narcotics/Sleeping Pills,3
Other,2
Blunt Object,1
Firearm,1
Asphyxiation,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun,0
Handgun (Automatic),0
Knife/Cutting Instrument,0
Lethal Cutting Instrument,0
Motor Vehicle/Vessel,0
Other Firearm,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle,0
Rifle (Automatic),0
Shotgun,0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
