key,value
Residence/Home,2218
Highway/Road/Alley/Street/Sidewalk,179
Parking/Drop Lot/Garage,37
Park/Playground,27
Convenience Store,6
Other/Unknown,6
Restaurant,6
Commercial/Office Building,4
Government/Public Building,4
Bar/Nightclub,3
Community Center,3
Department/Discount Store,3
Field/Woods,3
Shopping Mall,3
Dock/Wharf/Freight/Modal Terminal,2
Drug Store/Doctor's Office/Hospital,2
Grocery/Supermarket,2
Air/Bus/Train Terminal,1
Church/Synagogue/Temple/Mosque,1
Daycare Facility,1
Liquor Store,1
Service/Gas Station,1
Specialty Store,1
Abandoned/Condemned Structure,0
Amusement Park,0
Arena/Stadium/Fairgrounds/Coliseum,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Bank/Savings and Loan,0
Camp/Campground,0
Construction Site,0
Cyberspace,0
Farm Facility,0
Gambling Facility/Casino/Race Track,0
Hotel/Motel/Etc.,0
Industrial Site,0
Jail/Prison/Penitentiary/Corrections Facility,0
Lake/Waterway/Beach,0
Military Installation,0
Not Specified,0
Rental Storage Facility,0
Rest Area,0
School-College/University,0
School-Elementary/Secondary,0
School/College,0
Shelter-Mission/Homeless,0
Tribal Lands,0
