key,value
Handgun,88
Personal Weapons,84
Firearm,64
Knife/Cutting Instrument,22
,17
Other,9
Unknown,6
Blunt Object,5
Firearm (Automatic),3
Handgun (Automatic),3
Other Firearm,2
Fire/Incendiary Device,1
Rifle,1
Shotgun,1
Asphyxiation,0
Club/Blackjack/Brass Knuckles,0
Drowning,0
Drugs/Narcotics/Sleeping Pills,0
Explosives,0
Lethal Cutting Instrument,0
Motor Vehicle/Vessel,0
Other Firearm (Automatic),0
Poison,0
Pushed or Thrown Out Window,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
