key,value
Firearm,111
Handgun,95
Knife/Cutting Instrument,93
Personal Weapons,42
Blunt Object,15
Motor Vehicle/Vessel,14
Other,12
Unknown,8
Asphyxiation,4
Drugs/Narcotics/Sleeping Pills,3
Shotgun,2
Other Firearm,1
Poison,1
Club/Blackjack/Brass Knuckles,0
Drowning,0
Explosives,0
Fire/Incendiary Device,0
Firearm (Automatic),0
Handgun (Automatic),0
Lethal Cutting Instrument,0
,0
Other Firearm (Automatic),0
Pushed or Thrown Out Window,0
Rifle,0
Rifle (Automatic),0
Shotgun (Automatic),0
Strangulation - Include Hanging,0
Unarmed,0
