key,value
Residence/Home,2046
Other/Unknown,180
Highway/Road/Alley/Street/Sidewalk,175
Hotel/Motel/Etc.,108
Shelter-Mission/Homeless,67
Park/Playground,49
School-Elementary/Secondary,41
Drug Store/Doctor's Office/Hospital,31
Jail/Prison/Penitentiary/Corrections Facility,28
Government/Public Building,24
Shopping Mall,22
Bar/Nightclub,21
Parking/Drop Lot/Garage,13
School-College/University,13
Restaurant,9
Air/Bus/Train Terminal,8
Specialty Store,6
Commercial/Office Building,5
Grocery/Supermarket,5
Church/Synagogue/Temple/Mosque,4
Abandoned/Condemned Structure,3
Dock/Wharf/Freight/Modal Terminal,2
Industrial Site,2
Rental Storage Facility,2
Rest Area,2
Department/Discount Store,1
Amusement Park,0
Arena/Stadium/Fairgrounds/Coliseum,0
ATM Separate from Bank,0
Auto Dealership New/Used,0
Bank/Savings and Loan,0
Camp/Campground,0
Community Center,0
Construction Site,0
Convenience Store,0
Cyberspace,0
Daycare Facility,0
Farm Facility,0
Field/Woods,0
Gambling Facility/Casino/Race Track,0
Lake/Waterway/Beach,0
Liquor Store,0
Military Installation,0
Not Specified,0
School/College,0
Service/Gas Station,0
Tribal Lands,0
